,buytime,buyprice,stoploss,target,selltime,profit,open,high,close,low,5ema,9ema,21ema,rsi,openCloseDiff,ema5_highDiff,ema5_lowDiff
866,28-05-2021 00:15,157.45,158.65,147.85,28-05-2021 04:25,-0.762146713,158.55,158.65,157.45,157.45,157.2947613,156.4861611,154.7812497,71.963249,0.693787449,0.854231772,0.098595559
867,29-10-2021 01:20,211.6,213.4,197.2,29-10-2021 02:10,-0.850661626,213.4,213.4,212,211.6,209.9621018,207.6671905,203.6126358,77.46416971,0.656044986,1.611011348,0.774053977
868,26-05-2022 05:00,193.5,195.15,180.3,26-05-2022 05:45,-0.852713178,194.65,195.15,193.65,193.5,193.1594269,192.4813673,191.1819682,70.29290991,0.513742615,1.020022061,0.176006746
869,30-09-2022 01:20,224.85,226.4,212.45,30-09-2022 01:40,-0.689348455,226.05,226.4,224.85,224.85,224.3437989,223.1181456,220.6200244,70.16658658,0.530856005,0.908216016,0.225128334
870,01-11-2022 00:05,294.4,296.65,276.4,01-11-2022 00:15,-0.764266304,296.6,296.65,294.8,294.4,293.627266,292.4818437,291.0043551,71.26371828,0.60687795,1.018956346,0.262477582
871,25-05-2018 02:25,170.7,172,160.3,25-05-2018 02:55,-0.761570006,172,172,170.8,170.7,170.0296993,168.9273755,167.1449691,75.28391357,0.697674419,1.145523681,0.39267764
872,25-08-2019 23:45,120.35,122.25,105.15,26-08-2019 02:20,-1.578728708,122,122.25,120.5,120.35,119.9685221,119.701889,119.0510189,84.12679176,1.229508197,1.866239625,0.316973777
873,08-06-2020 23:45,125.8,127.8,109.8,09-06-2020 02:20,-1.589825119,127.8,127.8,126,125.8,125.4922411,125.3110834,125.1212463,70.06948206,1.408450704,1.80575814,0.244641418
874,27-10-2020 23:50,115.15,116.3,105.95,28-10-2020 00:25,-0.998697351,116.15,116.3,115.2,115.15,112.5502224,111.1472452,109.7640787,82.64826999,0.817907878,3.224228357,2.257731289
875,28-10-2020 02:20,118.95,120,110.55,05-11-2020 03:25,7.061790668,119.75,120,119.15,118.95,118.7701178,118.2779937,117.2022692,71.79684198,0.501043841,1.024901843,0.151225063
876,26-04-2021 23:50,131.25,132.8,118.85,12-05-2021 05:00,-1.180952381,132.7,132.8,131.5,131.25,128.4617499,126.576796,124.6461723,82.21036178,0.904295403,3.266754587,2.124381022
877,12-10-2022 23:55,122.4,123.6,112.8,13-10-2022 23:45,-0.980392157,123.6,123.6,122.8,122.4,121.8652531,121.2967239,120.70204,75.90219258,0.647249191,1.403516949,0.436884762
